model,horizon,decile,n,predicted_persistence,observed_persistence,assessment
M0,365,1,3313,0.4849590606926351,0.595532749773619,2023/365
M0,365,2,3313,0.50642030029369,0.599456685783278,2023/365
M0,365,3,3529,0.5179888931890991,0.5871351657693398,2023/365
M0,365,4,3096,0.5258762411855704,0.5965762273901809,2023/365
M0,365,5,3312,0.5361542663593887,0.6132246376811594,2023/365
M0,365,6,3313,0.5474155261545998,0.6423181406580138,2023/365
M0,365,7,3312,0.5594537259212701,0.6476449275362319,2023/365
M0,365,8,3313,0.5718490709819417,0.655900996076064,2023/365
M0,365,9,3313,0.5882918116980775,0.6405070932689405,2023/365
M0,365,10,3312,0.6177854893004029,0.6651570048309179,2023/365
M1,365,1,3313,0.3553657102569471,0.4488379112586779,2023/365
M1,365,2,3314,0.4930747327901021,0.5727217863608932,2023/365
M1,365,3,3316,0.5442277787897463,0.6040410132689988,2023/365
M1,365,4,3309,0.5591760398870562,0.6032033847083711,2023/365
M1,365,5,3311,0.5692699216376703,0.6091815161582603,2023/365
M1,365,6,3313,0.5812399277270183,0.6314518563235738,2023/365
M1,365,7,3313,0.5943183148539752,0.6673709628735285,2023/365
M1,365,8,3312,0.6079236827652639,0.6811594202898551,2023/365
M1,365,9,3312,0.6258857164384037,0.7044082125603864,2023/365
M1,365,10,3313,0.6622369491581781,0.7204950196196801,2023/365
M0,180,1,3385,0.6390364229207867,0.7302806499261447,Full 2024/180
M0,180,2,3385,0.6569709789512026,0.7515509601181684,Full 2024/180
M0,180,3,3387,0.6666694455876819,0.7283731916149985,Full 2024/180
M0,180,4,3426,0.6741672793067652,0.7405137186223001,Full 2024/180
M0,180,5,3342,0.6828623445057144,0.7731897067624177,Full 2024/180
M0,180,6,3384,0.6911258245113575,0.7842789598108747,Full 2024/180
M0,180,7,3384,0.7000271276757334,0.8023049645390071,Full 2024/180
M0,180,8,3384,0.7092378408720232,0.7990543735224587,Full 2024/180
M0,180,9,3391,0.7210084446733537,0.8286641108817459,Full 2024/180
M0,180,10,3379,0.7431190907807685,0.8150340337377923,Full 2024/180
M1,180,1,3385,0.5402866044764024,0.6251107828655834,Full 2024/180
M1,180,2,3388,0.6576970365565005,0.7195985832349469,Full 2024/180
M1,180,3,3381,0.6934594994304258,0.7639751552795031,Full 2024/180
M1,180,4,3446,0.705047368998318,0.761172373766686,Full 2024/180
M1,180,5,3324,0.7142540453200004,0.7674488567990373,Full 2024/180
M1,180,6,3384,0.7235595949544806,0.8011229314420804,Full 2024/180
M1,180,7,3385,0.7331449872751093,0.8159527326440177,Full 2024/180
M1,180,8,3384,0.7428593775357468,0.817080378250591,Full 2024/180
M1,180,9,3387,0.7546737925796565,0.8399763802775317,Full 2024/180
M1,180,10,3383,0.7808609759694757,0.8415607449009754,Full 2024/180
