model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3313,0.6777078402820162,0.7464533655297314
M0,180,2,3313,0.6937390511628669,0.7455478418351947
M0,180,3,3529,0.7022116025974658,0.7373193539246246
M0,180,4,3096,0.7079399835977018,0.7493540051679587
M0,180,5,3312,0.715341462011866,0.7657004830917874
M0,180,6,3313,0.723376364401295,0.7718080289767583
M0,180,7,3312,0.7318833121884948,0.7814009661835749
M0,180,8,3313,0.7405524472119763,0.7992755810443707
M0,180,9,3313,0.7519158840724984,0.7853908843948083
M0,180,10,3312,0.7718937123644575,0.8146135265700483
M1,180,1,3313,0.5720791187802299,0.6341684274071838
M1,180,2,3314,0.684485911137241,0.7432106216053108
M1,180,3,3316,0.7218861659942497,0.758745476477684
M1,180,4,3309,0.7324482471807192,0.7443336355394379
M1,180,5,3311,0.7395010500002777,0.7559649652672908
M1,180,6,3313,0.7477891943998061,0.780863265922125
M1,180,7,3313,0.7567556613984546,0.7926350739511017
M1,180,8,3312,0.7659842362780708,0.8097826086956522
M1,180,9,3312,0.778021384691098,0.8245772946859904
M1,180,10,3313,0.8017812107227417,0.8517959553274977
M0,365,1,3313,0.4849590606926351,0.595532749773619
M0,365,2,3313,0.50642030029369,0.599456685783278
M0,365,3,3529,0.5179888931890991,0.5871351657693398
M0,365,4,3096,0.5258762411855704,0.5965762273901809
M0,365,5,3312,0.5361542663593887,0.6132246376811594
M0,365,6,3313,0.5474155261545998,0.6423181406580138
M0,365,7,3312,0.5594537259212701,0.6476449275362319
M0,365,8,3313,0.5718490709819417,0.655900996076064
M0,365,9,3313,0.5882918116980775,0.6405070932689405
M0,365,10,3312,0.6177854893004029,0.6651570048309179
M1,365,1,3313,0.3553657102569471,0.44883791125867795
M1,365,2,3314,0.49307473279010217,0.5727217863608932
M1,365,3,3316,0.5442277787897463,0.6040410132689988
M1,365,4,3309,0.5591760398870562,0.6032033847083711
M1,365,5,3311,0.5692699216376703,0.6091815161582603
M1,365,6,3313,0.5812399277270183,0.6314518563235738
M1,365,7,3313,0.5943183148539752,0.6673709628735285
M1,365,8,3312,0.6079236827652639,0.6811594202898551
M1,365,9,3312,0.6258857164384037,0.7044082125603864
M1,365,10,3313,0.6622369491581781,0.7204950196196801
