metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__IBS,0.16134400355926309,0.15919016933745522,0.16315995917765444,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_180,0.17915860985376744,0.1761259806181148,0.18170523700013788,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.53699970860903845,0.52750572406014851,0.54565184228246733,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.04798936211883497,-0.054702876185628628,-0.042430574873132752,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.25448945494481867,0.22324744617543441,0.29282279997291522,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.33548254657319537,0.12658631657972502,0.56391735946706123,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,0.91446433790301618,0.67365441007267024,1.1317444435273725,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__BS_365,0.24043994558656617,0.23955391399409884,0.24117953267377382,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_365,0.53054627518928188,0.52209649575766204,0.53889904848058445,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_365,-0.078716746266131732,-0.086735451822608264,-0.071931286198561331,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_365,0.32691562783743816,0.29800530197400504,0.36147522023219769,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_365,0.39200254697941733,0.34339366456530651,0.4411833977220751,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_365,0.63602103396337217,0.46012376002588379,0.82109754651384959,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.66088374851720044,0.64758142240552208,0.67601682576824296,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21552224371373307,0.21169815976849568,0.21981474239713131,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,66.088374851720047,64.758142240552203,67.601682576824288,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__IBS,0.15777139711609098,0.15557571849705942,0.15978187349743617,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17554639779772296,0.17243922281174515,0.17824425200103952,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.58404664654518945,0.57546713168262698,0.5926817431588487,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.039539242348290232,-0.045913247105825332,-0.034015882719590891,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.21548379812074145,0.18385246325219473,0.25267370383563226,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.22239527452362906,0.13237391257947065,0.30874080519046621,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,0.99287729711723405,0.90421858107631514,1.0804778986647496,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_365,0.23328983108227674,0.23192637276503428,0.23463494527629364,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_365,0.58523784256692979,0.57760892043013179,0.59322253920010504,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_365,-0.065018595546172772,-0.073006368956774648,-0.05832820344842659,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_365,0.27769939447022374,0.24847779388336763,0.31308520589999894,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_365,0.30234279713110795,0.26400174890196876,0.34175647131702125,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_365,0.8911794807125879,0.81838040957872116,0.96579495598390663,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6744,6640,6842.1000000000004,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20358630682847309,0.20327114891781164,0.20383996190328474,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.71070581257414001,0.6991202571869658,0.72541624527081794,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.23176982591876208,0.22824760346167267,0.2363002423951259,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,71.070581257413991,69.912025718696583,72.541624527081794,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__IBS,-0.0035726064431721161,-0.0040949694391740413,-0.0030354305813199423,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0036122120560444781,-0.0042683653034017461,-0.0029746760370710766,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.047046937936151001,0.039096412004317342,0.054582466940044976,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.0084501197705447381,0.0077634367936788868,0.0091448717026869231,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.039005656824077223,-0.042498325340538073,-0.035326553014371591,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,-0.11308727204956631,-0.31595872179152235,0.078347007496732526,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,0.07841295921421787,-0.12182134163571648,0.29242660138207111,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_365,-0.0071501145042894287,-0.008030562361329761,-0.0061914044292095518,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_365,0.054691567377647909,0.047685108162930548,0.061084572937782744,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_365,0.01369815071995896,0.012810106599289344,0.014605947150682825,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_365,-0.049216233367214424,-0.053023472751513097,-0.045234047370509865,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_365,-0.089659749848309378,-0.11873935949006745,-0.058674910189490087,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_365,0.25515844674921573,0.087053935369409086,0.41116764049485016,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.049822064056939563,0.040754072491994114,0.060174423025303035,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.016247582205029004,0.013274674806086779,0.019666381649683193,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,4.9822064056939439,4.0754072491994071,6.0174423025302994,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
IBS_relative_reduction_percent,2.2142790338407994,1.8742012079518378,2.5462400504729477,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_365,0.52817402714411299,0.52157207543100004,0.53463106874599231,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_365,0.571639803213287,0.56565197416795399,0.57764974573435346,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_365,0.043465776069173803,0.038126882692412108,0.048365483988316998,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
