model,horizon,decile,n,predicted_persistence,observed_persistence
M0,180,1,3385,0.6390364229207867,0.7302806499261447
M0,180,2,3385,0.6569709789512026,0.7515509601181684
M0,180,3,3387,0.6666694455876819,0.7283731916149985
M0,180,4,3426,0.6741672793067652,0.7405137186223001
M0,180,5,3342,0.6828623445057144,0.7731897067624177
M0,180,6,3384,0.6911258245113575,0.7842789598108747
M0,180,7,3384,0.7000271276757334,0.8023049645390071
M0,180,8,3384,0.7092378408720232,0.7990543735224587
M0,180,9,3391,0.7210084446733537,0.8286641108817459
M0,180,10,3379,0.7431190907807685,0.8150340337377923
M1,180,1,3385,0.5402866044764024,0.6251107828655834
M1,180,2,3388,0.6576970365565005,0.7195985832349469
M1,180,3,3381,0.6934594994304258,0.7639751552795031
M1,180,4,3446,0.705047368998318,0.761172373766686
M1,180,5,3324,0.7142540453200004,0.7674488567990373
M1,180,6,3384,0.7235595949544806,0.8011229314420804
M1,180,7,3385,0.7331449872751093,0.8159527326440177
M1,180,8,3384,0.7428593775357468,0.817080378250591
M1,180,9,3387,0.7546737925796565,0.8399763802775317
M1,180,10,3383,0.7808609759694757,0.8415607449009754
