metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.18072757169862519,0.17838423339358528,0.18302460049978686,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.55412869952792898,0.54549154785915721,0.5630751883365116,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.086876857354186765,-0.093185960281009853,-0.080525321402079644,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.44743666596522796,0.41120243140575929,0.48390626620610377,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.19359069272924564,0.011976999875033457,0.36775669754240725,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,1.3239401923577094,1.1234344552055473,1.5469909224475114,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.81818181818181823,0.80578671420663894,0.82753085727290376,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21435920887161314,0.21134900892359498,0.21690118951694287,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,81.818181818181813,80.578671420663895,82.753085727290369,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17516471269216141,0.17260511247288246,0.17769244075696344,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.59543571845120202,0.58709800417556768,0.60336269722543145,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.070721234797842994,-0.076729957267196294,-0.064556843047494469,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.37709506209808108,0.34113080967882148,0.41273307987938346,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.29888267456987139,0.22072195883212917,0.37756606543059873,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.0932793077992069,1.0083315057383426,1.1773245600152054,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.83810909090909091,0.82808714324013899,0.84741710522767288,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.21958004649213064,0.2171048660265805,0.22197422475250589,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,83.810909090909092,82.808714324013906,84.741710522767292,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0055628590064637773,-0.006211559213308732,-0.0049472674382140033,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.041307018923273042,0.03387305575544345,0.048215334829827074,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.016155622556343771,0.015462788040723659,0.016837276827200705,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.070341603867146885,-0.073860901408373827,-0.067046253945186998,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,0.10529198184062574,-0.041622376747285195,0.26408862016927559,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,-0.23066088455850253,-0.43302247825313744,-0.040293488082158206,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.019927272727272682,0.012877748683144655,0.029584737811725739,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.0052208376205175044,0.003376593122789521,0.0077527221039042681,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,1.9927272727272793,1.2877748683144616,2.9584737811725681,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.54853968922293606,0.54094494290780337,0.55637948387555214,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.58623417780420495,0.5788532907330981,0.59309715049434819,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.037694488581269003,0.031143818956246318,0.043837370677951126,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
