model,horizon,decile,n,predicted_persistence,observed_persistence,population
M_base,180,1,3313,0.67770784028201625,0.74645336552973141,2023
M_base,180,2,3313,0.69373905116286694,0.74554784183519474,2023
M_base,180,3,3529,0.70221160259746584,0.73731935392462455,2023
M_base,180,4,3096,0.70793998359770183,0.74935400516795869,2023
M_base,180,5,3312,0.71534146201186599,0.7657004830917874,2023
M_base,180,6,3313,0.72337636440129505,0.77180802897675826,2023
M_base,180,7,3312,0.73188331218849478,0.78140096618357491,2023
M_base,180,8,3313,0.74055244721197633,0.79927558104437069,2023
M_base,180,9,3313,0.75191588407249843,0.78539088439480831,2023
M_base,180,10,3312,0.77189371236445747,0.81461352657004826,2023
M_any,180,1,3313,0.62636744593880045,0.69363115001509201,2023
M_any,180,2,3313,0.66414333614971388,0.70962873528523995,2023
M_any,180,3,3312,0.70375957548799262,0.74577294685990336,2023
M_any,180,4,3324,0.72572831905047519,0.75902527075812276,2023
M_any,180,5,3307,0.73499833482204713,0.75687934684003633,2023
M_any,180,6,3314,0.74335235821898848,0.77489438744719374,2023
M_any,180,7,3306,0.75360929381578556,0.79522081064730787,2023
M_any,180,8,3312,0.76329009503298062,0.79408212560386471,2023
M_any,180,9,3312,0.77585681153900965,0.81944444444444442,2023
M_any,180,10,3313,0.79896917346052976,0.84757017808632662,2023
M_count,180,1,3314,0.62125967772706636,0.69191309595654793,2023
M_count,180,2,3314,0.66579403320093566,0.69945684972842481,2023
M_count,180,3,3310,0.70522537101055061,0.76223564954682776,2023
M_count,180,4,3313,0.72629546587652871,0.75520676124358588,2023
M_count,180,5,3312,0.73532048756550661,0.75392512077294682,2023
M_count,180,6,3316,0.74379641008143638,0.77472858866103744,2023
M_count,180,7,3309,0.75411757593885931,0.79631308552432756,2023
M_count,180,8,3313,0.76389175075236582,0.79776637488680957,2023
M_count,180,9,3313,0.77671185946037125,0.82040446725022642,2023
M_count,180,10,3312,0.80031809062996007,0.84420289855072461,2023
M_history,180,1,3313,0.57207911878022988,0.63416842740718382,2023
M_history,180,2,3314,0.684485911137241,0.74321062160531082,2023
M_history,180,3,3316,0.72188616599424971,0.75874547647768398,2023
M_history,180,4,3309,0.73244824718071921,0.74433363553943788,2023
M_history,180,5,3311,0.73950105000027766,0.75596496526729084,2023
M_history,180,6,3313,0.74778919439980607,0.78086326592212496,2023
M_history,180,7,3313,0.75675566139845463,0.79263507395110167,2023
M_history,180,8,3312,0.76598423627807077,0.80978260869565222,2023
M_history,180,9,3312,0.77802138469109805,0.82457729468599039,2023
M_history,180,10,3313,0.80178121072274167,0.85179595532749774,2023
M_base,365,1,3313,0.48495906069263511,0.59553274977361903,2023
M_base,365,2,3313,0.50642030029369001,0.59945668578327804,2023
M_base,365,3,3529,0.51798889318909913,0.58713516576933977,2023
M_base,365,4,3096,0.52587624118557041,0.5965762273901809,2023
