population,loss,contrast,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,orientation
2023,IBS_0_365,M_any - M_base,-0.0021067881251242704,-0.0024585180142722581,-0.0017259799204085255,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_any - M_base,-0.0019947742878490271,-0.0024240428541312245,-0.0015543848316649841,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_any - M_base,-0.0046160950590163341,-0.0053417652878076675,-0.0038350720771420988,500,500,first model loss minus second model loss; negative favors first
2023,IBS_0_365,M_count - M_any,-7.2016723945356187e-05,-0.00016677972315761458,2.9925172437084138e-05,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_count - M_any,-9.6647555129281137e-05,-0.00021464839834825153,2.2720963968230525e-05,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_count - M_any,-0.00012472687272335747,-0.00029469279059662554,5.1081743206023153e-05,500,500,first model loss minus second model loss; negative favors first
2023,IBS_0_365,M_history - M_count,-0.0013938015941024895,-0.0017501360175891482,-0.0010397154830576918,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_history - M_count,-0.0015207902130661699,-0.0019613030206195011,-0.0010706375546065039,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_history - M_count,-0.0024092925725497372,-0.0029915633581744151,-0.0017868576424933788,500,500,first model loss minus second model loss; negative favors first
2023,IBS_0_365,M_count - M_base,-0.0021788048490696266,-0.0025482381144237226,-0.0017734789923761528,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_count - M_base,-0.0020914218429783082,-0.0025624263153164331,-0.0016374740880355713,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_count - M_base,-0.0047408219317396916,-0.0055091320482888572,-0.0039700518429319617,500,500,first model loss minus second model loss; negative favors first
2023,IBS_0_365,M_history - M_any,-0.0014658183180478457,-0.0018434361190817351,-0.0011046456264219926,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_history - M_any,-0.001617437768195451,-0.002079016865423622,-0.0011647901498722073,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_history - M_any,-0.0025340194452730946,-0.0031273831768067312,-0.0019320521629292743,500,500,first model loss minus second model loss; negative favors first
2023,IBS_0_365,M_history - M_base,-0.0035726064431721161,-0.0040949694391740265,-0.00303543058131997,500,500,first model loss minus second model loss; negative favors first
2023,Brier_180,M_history - M_base,-0.0036122120560444781,-0.0042683653034017686,-0.0029746760370711351,500,500,first model loss minus second model loss; negative favors first
2023,Brier_365,M_history - M_base,-0.0071501145042894287,-0.0080305623613298044,-0.0061914044292095795,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_any - M_base,-0.0042315834286901777,-0.0047617715551482127,-0.0037259965204614353,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_count - M_any,-0.00017981164653343984,-0.00030805125531199599,-6.1882779993255316e-05,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_history - M_count,-0.0011514639312401598,-0.0015816557336443618,-0.00067553651130260813,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_count - M_base,-0.0044113950752236175,-0.004960623066237937,-0.0039134340247045469,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_history - M_any,-0.0013312755777735996,-0.0017714716279400883,-0.00082542733589462027,500,500,first model loss minus second model loss; negative favors first
full_2024,Brier_180,M_history - M_base,-0.0055628590064637773,-0.0062115592133087606,-0.0049472674382140458,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_any - M_base,-0.0042384746094036585,-0.0046491420234479591,-0.0037705673386170088,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_any - M_base,-0.0090213358530074339,-0.0097848465814272794,-0.0082019492637620678,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_count - M_any,-0.00016450364488873603,-0.00029716108382649918,-5.0176474640373936e-05,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_count - M_any,-0.00024545256261959691,-0.00045013702449448606,-2.347730652530615e-05,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_history - M_count,-0.0010636214636461638,-0.001432357033897131,-0.00062692129279286473,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_history - M_count,-0.0016723914136842211,-0.0023295835580830959,-0.00093680027192505008,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_count - M_base,-0.0044029782542923945,-0.0048130646041554311,-0.0039136362514151889,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_count - M_base,-0.0092667884156270308,-0.010093722834983741,-0.0083777673913757351,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_history - M_any,-0.0012281251085348999,-0.0016160427576086677,-0.00078527705052725211,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_history - M_any,-0.001917843976303818,-0.0026189864707575881,-0.0011531625365137287,500,500,first model loss minus second model loss; negative favors first
mature_2024,IBS_0_365,M_history - M_base,-0.0054665997179385584,-0.0060001141102382577,-0.0048518753882899456,500,500,first model loss minus second model loss; negative favors first
mature_2024,Brier_365,M_history - M_base,-0.010939179829311252,-0.01188696450008481,-0.0097867290822330512,500,500,first model loss minus second model loss; negative favors first
