"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23"
"x1",0.000352264247316854,6.17265702455907e-05,6.19824885444138e-05,6.37280402427107e-05,6.6806859292827e-06,-1.93869873155062e-05,-2.94684156923827e-05,-4.09506113357029e-05,5.43995613447372e-07,8.37978605720749e-08,-2.82610936926397e-06,1.70270087047886e-07,8.80865089943842e-07,-1.12104920893563e-05,6.52905821916847e-06,1.63193789569384e-06,-2.3085494168579e-05,-7.99738497069877e-06,1.54528633275029e-05,-1.15323496093073e-05,5.11923615470607e-06,2.78364596589803e-06,6.23673777545664e-07
"x2",6.17265702455907e-05,0.000166176317322549,6.97027263589848e-05,7.39782712552633e-05,-4.11172860952729e-06,-3.94168024707242e-05,-5.68490944263157e-05,-6.2222565130016e-05,2.22335875139507e-06,-3.45014546301142e-07,-3.01306748433959e-06,4.56613958940303e-07,1.3443451962932e-06,-5.65697152703994e-06,4.92065669993694e-06,-2.38988966209897e-06,-1.18020219367983e-05,-4.55316278299114e-06,-1.32772932211835e-05,7.53979104108894e-06,3.8483201291848e-06,-4.60564955396978e-07,1.42046490271627e-06
"x3",6.19824885444138e-05,6.97027263589848e-05,0.000231449329182158,8.44455352130553e-05,-1.00184174952052e-06,-7.13407325786445e-05,-6.38117292916307e-05,-3.83305799142446e-05,2.9637362584277e-06,-6.48021789846028e-07,-3.02086879743212e-06,-3.27218609930259e-07,-9.14679325488616e-07,-3.96245349075896e-06,5.98191775457071e-06,-3.26473234017693e-06,-5.75105293149847e-06,1.48799791407456e-05,-7.20852217844729e-06,-1.12385667072227e-05,4.94607737154831e-06,-1.38748959814029e-06,-3.89057955652691e-06
"x4",6.37280402427107e-05,7.39782712552633e-05,8.44455352130553e-05,0.000756735343215751,1.30164348091448e-05,-0.000122717682999758,-7.52934855094901e-05,-1.90119196378827e-05,7.95454099888904e-06,-8.68175304728814e-06,-5.01534916722269e-06,-1.76539446776341e-06,-7.93825929166527e-07,-7.10715635642148e-06,1.15012587781853e-05,-8.553663548091e-06,6.06239176103133e-06,2.17035526923136e-05,-1.38664982237432e-05,-2.33841615195954e-05,9.57086541075559e-06,1.07283380323961e-05,7.72222947542242e-06
"x5",6.6806859292827e-06,-4.11172860952729e-06,-1.00184174952052e-06,1.30164348091448e-05,0.000218309108145587,-1.10728841342319e-05,-3.13690315931921e-06,-3.85798371288147e-06,-1.64183185736435e-06,1.64035686418662e-07,-5.23165143169704e-07,-1.57093342911542e-07,-4.7523921011223e-06,-7.39963272225855e-05,1.42925329269006e-05,5.36506639351843e-05,-3.18798542967297e-05,-9.21462038712462e-06,-1.30465995291465e-05,4.49509280267313e-06,8.43544315250016e-08,2.91061212739559e-06,2.27202408795204e-06
"x6",-1.93869873155062e-05,-3.94168024707242e-05,-7.13407325786445e-05,-0.000122717682999758,-1.10728841342319e-05,0.000492225130181753,6.54703799129647e-05,5.22441752732707e-05,-5.93327202996412e-06,5.81152580884153e-06,7.65194520414937e-06,1.1847778457922e-06,1.58053893200507e-06,2.78443319837524e-06,-3.73383861672623e-06,-2.91366024513556e-06,2.6498221263808e-05,7.27764488318162e-06,-1.39065518083859e-05,9.2386717891268e-07,-3.26040834453186e-06,-8.38336936125848e-06,-1.91307434912345e-06
"x7",-2.94684156923827e-05,-5.68490944263157e-05,-6.38117292916307e-05,-7.52934855094901e-05,-3.13690315931921e-06,6.54703799129647e-05,0.00037080143484797,5.74300732951304e-05,5.17360261254551e-07,5.93162712869602e-07,1.26719449404257e-06,-1.72346405385756e-06,4.06961850335175e-07,2.5949852608809e-06,-4.37920633394958e-06,-1.55663421452934e-06,2.46468690792932e-05,3.39562883878136e-05,-6.80429354416967e-06,-2.34616365557265e-05,-3.43016562006327e-06,-6.57647506492372e-06,-5.7496263537445e-06
"x8",-4.09506113357029e-05,-6.2222565130016e-05,-3.83305799142446e-05,-1.90119196378827e-05,-3.85798371288147e-06,5.22441752732707e-05,5.74300732951304e-05,0.00145018126719172,4.33780388011382e-07,1.03484694412095e-06,3.699939689124e-06,2.28991737472035e-07,8.68526208292585e-07,1.61781981791885e-06,-2.68491189031127e-06,-2.29724143342232e-06,2.4772474450603e-05,1.80681021061418e-05,-1.25894621184547e-05,-5.11472099352158e-06,-2.86354339448023e-06,-8.76256011263382e-06,-1.00463042572635e-05
"x9",5.43995613447372e-07,2.22335875139507e-06,2.9637362584277e-06,7.95454099888904e-06,-1.64183185736435e-06,-5.93327202996412e-06,5.17360261254551e-07,4.33780388011382e-07,2.04170074220864e-05,-1.47703535966562e-05,-1.36852023401484e-05,-7.89370571965853e-06,-4.12661242545117e-07,-6.76137784156177e-08,-2.9407748563122e-06,1.30447018122351e-06,1.56385363208488e-05,-7.07281880552218e-07,-4.77547620123431e-06,-2.62256474056907e-06,-6.18356705709968e-06,-7.13986571526796e-06,-7.36179803108486e-06
"x10",8.37978605720749e-08,-3.45014546301142e-07,-6.48021789846028e-07,-8.68175304728814e-06,1.64035686418662e-07,5.81152580884153e-06,5.93162712869602e-07,1.03484694412095e-06,-1.47703535966562e-05,0.000213338118878358,0.000113059976887324,0.000108505521554017,4.5370597265948e-06,-2.88687626104992e-06,1.54750771472914e-06,-9.16238519825179e-07,-5.27999692184191e-06,1.18578324646253e-05,-1.79471954531715e-06,3.12792442478717e-07,4.93322346797926e-06,4.08101120454767e-06,4.73244293521944e-06
"x11",-2.82610936926397e-06,-3.01306748433959e-06,-3.02086879743212e-06,-5.01534916722269e-06,-5.23165143169704e-07,7.65194520414937e-06,1.26719449404257e-06,3.699939689124e-06,-1.36852023401484e-05,0.000113059976887324,0.000217286401406279,0.000108541551808816,8.94539366820785e-06,-6.36584784056874e-06,8.88286117824096e-07,-7.49109136584968e-07,4.25024229373851e-06,2.12845374530333e-05,-1.50828351973282e-05,3.88107121682287e-08,5.77650167102348e-06,4.40988637891894e-06,2.30846189974179e-06
"x12",1.70270087047886e-07,4.56613958940303e-07,-3.27218609930259e-07,-1.76539446776341e-06,-1.57093342911542e-07,1.1847778457922e-06,-1.72346405385756e-06,2.28991737472035e-07,-7.89370571965853e-06,0.000108505521554017,0.000108541551808816,0.000200752196514035,5.93521447123939e-06,-4.74291167123359e-06,6.83386481786517e-07,-1.62900245079257e-07,1.03910151187144e-06,1.77408752399016e-05,-7.46556711387135e-06,-5.95967031360816e-06,2.9142611199562e-06,1.40485323358872e-06,1.38198106517535e-06
"x13",8.80865089943842e-07,1.3443451962932e-06,-9.14679325488616e-07,-7.93825929166527e-07,-4.7523921011223e-06,1.58053893200507e-06,4.06961850335175e-07,8.68526208292585e-07,-4.12661242545117e-07,4.5370597265948e-06,8.94539366820785e-06,5.93521447123939e-06,0.000206696147292256,-0.000200873247156749,-7.62812146464149e-05,0.000119193055537434,0.000277395756338533,-3.57935562014248e-06,2.73875202727904e-08,7.66598734114239e-07,8.2811636746221e-07,6.61295840179714e-07,1.60162121160959e-06
"x14",-1.12104920893563e-05,-5.65697152703994e-06,-3.96245349075896e-06,-7.10715635642148e-06,-7.39963272225855e-05,2.78443319837524e-06,2.5949852608809e-06,1.61781981791885e-06,-6.76137784156177e-08,-2.88687626104992e-06,-6.36584784056874e-06,-4.74291167123359e-06,-0.000200873247156749,0.000301816582960046,4.82045796750301e-05,-0.000201840890203168,-0.000154136092756394,-2.05120075309367e-05,-4.77481791137011e-06,1.5876932191703e-05,-3.00412207613729e-06,-2.48187376386413e-06,-2.89582697430459e-06
"x15",6.52905821916847e-06,4.92065669993694e-06,5.98191775457071e-06,1.15012587781853e-05,1.42925329269006e-05,-3.73383861672623e-06,-4.37920633394958e-06,-2.68491189031127e-06,-2.9407748563122e-06,1.54750771472914e-06,8.88286117824096e-07,6.83386481786517e-07,-7.62812146464149e-05,4.82045796750301e-05,0.000119689193250925,-0.000122256038921487,-0.000189566804051247,4.60036204654264e-05,-1.40599698212056e-05,-2.88363308600265e-05,-3.71683308835046e-06,-2.54370414513978e-06,-3.45408923259413e-06
"x16",1.63193789569384e-06,-2.38988966209897e-06,-3.26473234017693e-06,-8.553663548091e-06,5.36506639351843e-05,-2.91366024513556e-06,-1.55663421452934e-06,-2.29724143342232e-06,1.30447018122351e-06,-9.16238519825179e-07,-7.49109136584968e-07,-1.62900245079257e-07,0.000119193055537434,-0.000201840890203168,-0.000122256038921487,0.0002815776052826,0.000140562672835038,-2.59549991204587e-05,2.02289196240623e-05,1.56748839227603e-05,1.98648037976981e-06,-1.76302942934752e-06,-1.50056596616467e-06
