population,model,horizon,AUC_event_risk_orientation,mean_predicted_minus_observed_persistence
2023,M_base,180,0.53699970860903845,-0.04798936211883497
2023,M_any,180,0.57137216248440259,-0.040608107601592398
2023,M_count,180,0.57241400492309691,-0.040340894139371697
2023,M_history,180,0.58404664654518945,-0.039539242348290232
2023,M_base,365,0.53054627518928188,-0.078716746266131732
2023,M_any,365,0.57268893690374911,-0.06733605458147468
2023,M_count,365,0.57307230290949751,-0.066857623906424815
2023,M_history,365,0.58523784256692979,-0.065018595546172772
full_2024,M_base,180,0.55412869952792898,-0.086876857354186765
full_2024,M_any,180,0.58730178258379973,-0.072367165341653952
full_2024,M_count,180,0.58828666378815198,-0.071826107711628576
full_2024,M_history,180,0.59543571845120202,-0.070721234797842994
mature_2024,M_base,365,0.53652040300385129,-0.1313173074388822
mature_2024,M_any,365,0.58237419639589283,-0.11150612162996403
mature_2024,M_count,365,0.58258060712658943,-0.11061732609425998
mature_2024,M_history,365,0.58462904101787605,-0.10823454885302049
