metric,estimate,percentile_2_5,percentile_97_5,finite_replicates,requested_replicates,CI_scope
M0__BS_180,0.18059237014501511,0.17823249925380585,0.18290068847346455,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__AUC_180,0.55460237168550286,0.54600095408272886,0.56352977842302598,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__mean_calibration_bias_180,-0.087201849229389894,-0.093462202160053964,-0.080809549762821759,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__offset_intercept_180,0.4493094940531267,0.41323320805503644,0.48552985492607831,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__joint_intercept_180,0.18756656770754757,0.0053539726800978203,0.35970166615003824,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__slope_180,1.3340475073341251,1.1305023621741606,1.558306521359544,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persistence_among_flagged,0.8186181818181818,0.80637773410198554,0.82809948939223466,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__recall_persisters,0.21438366600639952,0.21137592856713089,0.21691206649786848,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__persisters_per_100_reviews,81.86181818181818,80.637773410198548,82.80994893922346,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__BS_180,0.17503614370789039,0.1724922864873337,0.17757354612446152,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__AUC_180,0.59529753750477599,0.58697289129600572,0.60342225340611211,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__mean_calibration_bias_180,-0.071046226673046109,-0.077112880234344178,-0.064796203237638531,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__offset_intercept_180,0.3789990574938194,0.34250271107838653,0.41502060057271822,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__joint_intercept_180,0.30071661587453397,0.22205310065790687,0.37937021009902389,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__slope_180,1.0933725747474352,1.0083095952874845,1.1767273780846388,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__flagged,6875,6777.9499999999998,6987.6750000000002,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__realized_review_fraction,0.20311992200194995,0.20293158854938909,0.20352450185786902,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persistence_among_flagged,0.83840000000000003,0.82838136749005464,0.84774841661845945,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__recall_persisters,0.21956422367819595,0.21707049238909393,0.22193614557269234,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__persisters_per_100_reviews,83.840000000000003,82.838136749005471,84.77484166184594,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__BS_180,-0.0055562264371247228,-0.006204456895927005,-0.0049355193474657447,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__AUC_180,0.040695165819273127,0.033471462995943391,0.047637372092138516,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__mean_calibration_bias_180,0.016155622556343785,0.015462788040723652,0.016837276827200719,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__offset_intercept_180,-0.070310436559307299,-0.073832970408577073,-0.067006965184861489,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__joint_intercept_180,0.1131500481669864,-0.033008124669279201,0.27210394685997263,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__slope_180,-0.24067493258668993,-0.44242628720199506,-0.049921202577824106,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__flagged,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__realized_review_fraction,0,0,0,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persistence_among_flagged,0.019781818181818234,0.012699925492492816,0.029361707610085934,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__recall_persisters,0.0051805576717964263,0.0033203294464173457,0.0077084430770547503,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__persisters_per_100_reviews,1.9781818181818238,1.2699925492492845,2.9361707610085954,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M0__Uno_C_180,0.54894625509811601,0.54138116907751188,0.55673514113494493,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
M1__Uno_C_180,0.58614236716303503,0.57886487065046388,0.59305683746636373,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
Delta__Uno_C_180,0.037196112064919101,0.030720344726184966,0.043277127967507489,500,500,Conditional on fixed fitted models; paired evaluation-BIN bootstrap
